month,Features,No,score,F1,AUC
36,['HLA TIL'],90,0.5,0.6666666666666666,0.5
36,['HLA TIL'],91,0.5555555555555556,0.7142857142857143,0.5
36,['HLA TIL'],92,0.7777777777777778,0.8750000000000001,0.5
36,['HLA TIL'],93,0.5,0.5714285714285714,0.5307692307692309
36,['HLA TIL'],94,0.6666666666666666,0.8,0.5
36,['HLA TIL'],95,0.5555555555555556,0.7142857142857143,0.5
36,['HLA TIL'],96,0.6666666666666666,0.75,0.625
36,['HLA TIL'],97,0.6666666666666666,0.8,0.5
36,['HLA TIL'],98,0.6111111111111112,0.7199999999999999,0.5461538461538462
36,['HLA TIL'],99,0.5555555555555556,0.6363636363636365,0.5416666666666667
36,['HLA TIL'],100,0.6666666666666666,0.7272727272727274,0.7076923076923077
36,"['CD4', 'PD-1', 'GAL 9 TIL', 'HLA TIL']",1,0.7222222222222222,0.7826086956521738,0.7
36,"['CD4', 'PD-1', 'GAL 9 TIL', 'HLA TIL']",2,0.6111111111111112,0.6666666666666666,0.6038961038961038
36,"['CD4', 'PD-1', 'GAL 9 TIL', 'HLA TIL']",3,0.5,0.64,0.4350649350649351
36,"['CD4', 'PD-1', 'GAL 9 TIL', 'HLA TIL']",4,0.6111111111111112,0.6956521739130435,0.5875
36,"['CD4', 'PD-1', 'GAL 9 TIL', 'HLA TIL']",5,0.6666666666666666,0.7500000000000001,0.6233766233766235
36,"['CD4', 'PD-1', 'GAL 9 TIL', 'HLA TIL']",6,0.7222222222222222,0.8275862068965517,0.5615384615384615
36,"['CD4', 'PD-1', 'GAL 9 TIL', 'HLA TIL']",7,0.7222222222222222,0.8275862068965517,0.5615384615384615
36,"['CD4', 'PD-1', 'GAL 9 TIL', 'HLA TIL']",8,0.5555555555555556,0.6666666666666666,0.5357142857142857
36,"['CD4', 'PD-1', 'GAL 9 TIL', 'HLA TIL']",9,0.6666666666666666,0.8,0.5
36,"['CD4', 'PD-1', 'GAL 9 TIL', 'HLA TIL']",10,0.6666666666666666,0.7692307692307692,0.6071428571428572
36,"['CD4', 'PD-1', 'GAL 9 TIL', 'HLA TIL']",11,0.6111111111111112,0.7407407407407408,0.5
36,"['CD4', 'PD-1', 'GAL 9 TIL', 'HLA TIL']",12,0.5,0.64,0.4350649350649351
36,"['CD4', 'PD-1', 'GAL 9 TIL', 'HLA TIL']",13,0.6666666666666666,0.75,0.625
36,"['CD4', 'PD-1', 'GAL 9 TIL', 'HLA TIL']",14,0.5,0.5714285714285713,0.48750000000000004
36,"['CD4', 'PD-1', 'GAL 9 TIL', 'HLA TIL']",15,0.6666666666666666,0.7500000000000001,0.6461538461538461
36,"['CD4', 'PD-1', 'GAL 9 TIL', 'HLA TIL']",16,0.5555555555555556,0.6,0.5555555555555555
36,"['CD4', 'PD-1', 'GAL 9 TIL', 'HLA TIL']",17,0.6111111111111112,0.7200000000000001,0.5714285714285714
36,"['CD4', 'PD-1', 'GAL 9 TIL', 'HLA TIL']",18,0.7222222222222222,0.8,0.6666666666666667
36,"['CD4', 'PD-1', 'GAL 9 TIL', 'HLA TIL']",19,0.5,0.608695652173913,0.46923076923076923
36,"['CD4', 'PD-1', 'GAL 9 TIL', 'HLA TIL']",20,0.5555555555555556,0.6363636363636365,0.5416666666666667
36,"['CD4', 'PD-1', 'GAL 9 TIL', 'HLA TIL']",21,0.6666666666666666,0.8000000000000002,0.46153846153846156
36,"['CD4', 'PD-1', 'GAL 9 TIL', 'HLA TIL']",22,0.6111111111111112,0.7586206896551724,0.34375
36,"['CD4', 'PD-1', 'GAL 9 TIL', 'HLA TIL']",23,0.6666666666666666,0.7857142857142857,0.5416666666666666
36,"['CD4', 'PD-1', 'GAL 9 TIL', 'HLA TIL']",24,0.8333333333333334,0.8799999999999999,0.8230769230769232
36,"['CD4', 'PD-1', 'GAL 9 TIL', 'HLA TIL']",25,0.7222222222222222,0.8,0.6846153846153846
36,"['CD4', 'PD-1', 'GAL 9 TIL', 'HLA TIL']",26,0.6111111111111112,0.6956521739130435,0.577922077922078
36,"['CD4', 'PD-1', 'GAL 9 TIL', 'HLA TIL']",27,0.6111111111111112,0.6666666666666666,0.6038961038961038
36,"['CD4', 'PD-1', 'GAL 9 TIL', 'HLA TIL']",28,0.6111111111111112,0.7407407407407406,0.525974025974026
36,"['CD4', 'PD-1', 'GAL 9 TIL', 'HLA TIL']",29,0.7222222222222222,0.8,0.6846153846153846
36,"['CD4', 'PD-1', 'GAL 9 TIL', 'HLA TIL']",30,0.6111111111111112,0.7407407407407406,0.525974025974026
36,"['CD4', 'PD-1', 'GAL 9 TIL', 'HLA TIL']",31,0.5555555555555556,0.7142857142857142,0.38461538461538464
36,"['CD4', 'PD-1', 'GAL 9 TIL', 'HLA TIL']",32,0.5,0.64,0.5
36,"['CD4', 'PD-1', 'GAL 9 TIL', 'HLA TIL']",33,0.6111111111111112,0.6956521739130435,0.6076923076923078
36,"['CD4', 'PD-1', 'GAL 9 TIL', 'HLA TIL']",34,0.7222222222222222,0.8148148148148148,0.6428571428571428
36,"['CD4', 'PD-1', 'GAL 9 TIL', 'HLA TIL']",35,0.4444444444444444,0.5833333333333334,0.3692307692307692
36,"['CD4', 'PD-1', 'GAL 9 TIL', 'HLA TIL']",36,0.6111111111111112,0.7586206896551724,0.4230769230769231
36,"['CD4', 'PD-1', 'GAL 9 TIL', 'HLA TIL']",37,0.3888888888888889,0.5217391304347826,0.3888888888888889
36,"['CD4', 'PD-1', 'GAL 9 TIL', 'HLA TIL']",38,0.5555555555555556,0.7142857142857143,0.5
36,"['CD4', 'PD-1', 'GAL 9 TIL', 'HLA TIL']",39,0.6111111111111112,0.7200000000000001,0.5714285714285714
36,"['CD4', 'PD-1', 'GAL 9 TIL', 'HLA TIL']",40,0.6666666666666666,0.8,0.5
36,"['CD4', 'PD-1', 'GAL 9 TIL', 'HLA TIL']",41,0.5,0.64,0.4076923076923077
36,"['CD4', 'PD-1', 'GAL 9 TIL', 'HLA TIL']",42,0.4444444444444444,0.5,0.4923076923076923
36,"['CD4', 'PD-1', 'GAL 9 TIL', 'HLA TIL']",43,0.7222222222222222,0.8,0.6846153846153846
36,"['CD4', 'PD-1', 'GAL 9 TIL', 'HLA TIL']",44,0.3888888888888889,0.56,0.3181818181818182
