month,No,CD4,PD-1,GAL 9 TIL,HLA TIL,score,F1,AUC
36,4,0.5119946502924486,0.13609733850030692,0.1829324914093654,0.16897551979787923,0.6111111111111112,0.6956521739130435,0.5875
36,5,0.4218882158442521,0.07835323077283461,0.18374339640226203,0.31601515698065136,0.6666666666666666,0.7500000000000001,0.6233766233766235
36,6,0.31204150456627616,0.11604050821630976,0.2785304040911592,0.2933875831262548,0.7222222222222222,0.8275862068965517,0.5615384615384615
36,7,0.4031583954423533,0.05870796016237913,0.12950326443121354,0.40863037996405405,0.7222222222222222,0.8275862068965517,0.5615384615384615
36,8,0.5410945751677924,0.027620388519669668,0.2241828471675737,0.2071021891449643,0.5555555555555556,0.6666666666666666,0.5357142857142857
36,9,0.33688936369792544,0.08224213820265566,0.15622009026730643,0.4246484078321124,0.6666666666666666,0.8,0.5
36,10,0.5346046766113126,0.12945380374374024,0.1879925690910465,0.14794895055390073,0.6666666666666666,0.7692307692307692,0.6071428571428572
36,11,0.5571544158572439,0.10991671377002277,0.1828305527349527,0.15009831763778061,0.6111111111111112,0.7407407407407408,0.5
36,12,0.6067023321704598,0.07731520949562518,0.06946696365822139,0.2465154946756936,0.5,0.64,0.4350649350649351
36,13,0.3870554871302847,0.04898892319245689,0.15883377289706962,0.4051218167801888,0.6666666666666666,0.75,0.625
36,14,0.43856836176632197,0.06343464711944806,0.14882842524258103,0.3491685658716488,0.5,0.5714285714285713,0.48750000000000004
36,15,0.35900588957849683,0.10270507509805016,0.16394735232825686,0.37434168299519627,0.6666666666666666,0.7500000000000001,0.6461538461538461
36,16,0.618357446781949,0.027151952664076568,0.13543239759811063,0.21905820295586376,0.5555555555555556,0.6,0.5555555555555555
36,17,0.516856224175597,0.13611536346343703,0.12126432662791407,0.22576408573305193,0.6111111111111112,0.7200000000000001,0.5714285714285714
36,18,0.5060405095323689,0.032699475978116045,0.15638964291995605,0.3048703715695591,0.7222222222222222,0.8,0.6666666666666667
36,19,0.2862213013292965,0.12443575633041493,0.15122324493648379,0.43811969740380485,0.5,0.608695652173913,0.46923076923076923
36,20,0.5203558284876445,0.01995291843107378,0.21573664295032524,0.24395461013095654,0.5555555555555556,0.6363636363636365,0.5416666666666667
36,21,0.3138370107733242,0.07636070304508932,0.19591360900966787,0.4138886771719185,0.6666666666666666,0.8000000000000002,0.46153846153846156
36,22,0.4800028286014322,0.073490496715735,0.20728691248040945,0.23921976220242347,0.6111111111111112,0.7586206896551724,0.34375
36,23,0.3815727925801726,0.08474946125244968,0.14061956922391897,0.39305817694345874,0.6666666666666666,0.7857142857142857,0.5416666666666666
36,24,0.41846892121453505,0.13436952127895765,0.21894759538779787,0.22821396211870953,0.8333333333333334,0.8799999999999999,0.8230769230769232
36,25,0.36090364516760376,0.09369120348986798,0.20296887944620864,0.34243627189631964,0.7222222222222222,0.8,0.6846153846153846
36,26,0.4515151960520648,0.08961276843360523,0.20629792958959484,0.25257410592473517,0.6111111111111112,0.6956521739130435,0.577922077922078
36,27,0.4699844383882161,0.1307666230040712,0.225706009221796,0.17354292938591676,0.6111111111111112,0.6666666666666666,0.6038961038961038
36,28,0.2635122589111582,0.07442150691504927,0.14904250181703052,0.5130237323567621,0.6111111111111112,0.7407407407407406,0.525974025974026
36,29,0.4709318792871566,0.03621382477793191,0.23164663681453068,0.2612076591203808,0.7222222222222222,0.8,0.6846153846153846
36,30,0.41316648592885746,0.0673896272074871,0.10996680421622856,0.40947708264742694,0.6111111111111112,0.7407407407407406,0.525974025974026
36,31,0.43273387801905516,0.0535802231024997,0.10163215844525549,0.4120537404331897,0.5555555555555556,0.7142857142857142,0.38461538461538464
36,32,0.36042875600561625,0.1003567639707004,0.30232370133147396,0.23689077869220948,0.5,0.64,0.5
36,33,0.4321679851258509,0.1460590482903372,0.23683623246082125,0.18493673412299064,0.6111111111111112,0.6956521739130435,0.6076923076923078
36,34,0.3730676851685512,0.12569780649847026,0.2078894147609861,0.2933450935719925,0.7222222222222222,0.8148148148148148,0.6428571428571428
